method,ode_steps,num_seeds,success_rate_mean,success_rate_std,ring_pass_rate_mean,ring_pass_rate_std,collision_free_rate_mean,collision_free_rate_std,dynamic_feasibility_rate_mean,dynamic_feasibility_rate_std,endpoint_feasibility_rate_mean,endpoint_feasibility_rate_std,mean_maximum_speed_mean,mean_maximum_speed_std,mean_maximum_acceleration_mean,mean_maximum_acceleration_std,mean_path_length_mean,mean_path_length_std,trajectory_rmse_to_expert_mean,trajectory_rmse_to_expert_std,end_to_end_ms_per_trajectory_mean,end_to_end_ms_per_trajectory_std,ode_ms_per_trajectory_mean,ode_ms_per_trajectory_std,mean_residual_scale_mean,mean_residual_scale_std,cbf_intervention_rate_mean,cbf_intervention_rate_std
proposed_trajectory,1,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.5219741337287662,0.0026968992587847692,2.9896171718350026,0.0054971555781316754,3.6198462256113157,0.0002117406089584756,0.15820858540565852,5.8214038320184715e-05,43.0164833330006,0.21981459902907582,2.0345411455006492,0.051731240709750194,0.017729838689168293,0.007361771684102795,0.00048419179229480737,4.0861848293540623e-05
proposed_trajectory,2,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.5205307921419893,0.004737830134863964,2.995470047820568,0.002491468331970502,3.619683014170837,0.00012121354879538752,0.1582694288533963,0.00013385139123636748,44.953679166913695,1.2768413391577138,4.405643228892586,0.9881378338221234,0.03194634119669596,0.0042724594096872175,0.00031734191792294806,6.309968305716708e-05
proposed_trajectory,4,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.5362386251298978,0.002368890546095369,2.9880860513777705,0.013412908178363317,3.619463404838379,0.00017760963420795258,0.1583661126293088,0.0003539668641764259,51.162348177361615,2.180147846213672,9.007920573518883,0.5858009219752063,0.060408830642700195,0.0036314950554323013,0.0005185432370184255,0.0001395218451406772
proposed_trajectory,8,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.5824760067879902,0.0019141702750294501,2.973238741103991,0.022196751350321516,3.6190324445184636,0.00016542927411589996,0.15867669362378248,0.0006521755984747749,63.3602726557001,9.789379155737393,18.649201563069557,2.2526648375754497,0.10473791758219402,0.0082780426134296,0.0006060576319095478,0.0001516323272169478
proposed_trajectory,16,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.6070755146500233,0.0019413188192122953,2.9634661235366746,0.01996873104706815,3.618607395778754,0.0001784375606448513,0.15925472494690104,0.0008258457581251521,73.76627890577463,3.7080139986781755,34.90050026024013,1.4860567940546874,0.1274418036142985,0.010745281226477913,0.000628140703517588,0.00017901738314486133
proposed_trajectory,32,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.6177317266482267,0.0011477920153968723,2.9567530265013304,0.02235081463754968,3.6186107309065085,0.0002083566623522523,0.15962791882742491,0.0008825268875456244,98.97135312470103,2.538251673363122,62.11228567735816,2.1578449963039077,0.14045182863871256,0.011654262164288175,0.0006254825560092128,0.00017565030147403938
proposed_trajectory,64,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.6213709759451007,0.0010471765174337696,2.9536066874039375,0.024600382996093965,3.6186506640360308,0.00021458606869813253,0.15975279311804833,0.0008830425436412618,161.16575572899214,2.120163485681244,124.74545338530636,0.6253916480187264,0.14739282925923666,0.012108987014313373,0.0006080001243195142,0.0001694791305318479
raw_trajectory,1,3,0.0,0.0,0.09375,0.020669932117692115,0.09375,0.020669932117692115,0.0,0.0,0.0,0.0,54.29100075390693,2.422952415042628,1554.428534231768,27.98244535911863,126.43476689518606,1.0568774035163278,0.8987623600892607,0.008320855835250825,0.4380893230215103,0.05976788690914952,0.43561849027658656,0.05951581654137399,1.0,0.0,0.0,0.0
raw_trajectory,2,3,0.0,0.0,0.9114583333333334,0.03157384284630766,0.9114583333333334,0.03157384284630766,0.0,0.0,0.0,0.0,22.079129867551178,1.023098593963169,617.562104810472,9.65167994627278,49.6332792774393,0.09615734679376749,0.7115291766048104,0.011120446914371508,0.7037354171188781,0.025659461473554794,0.7013572915942253,0.025893382483799098,1.0,0.0,0.0,0.0
raw_trajectory,4,3,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.586476124608865,0.8784728394026826,287.60156611481966,19.227255003549754,22.78702247935742,0.27341038031764847,0.7143575711237947,0.013105149637323711,1.4166768226762845,0.11197132507488494,1.4141528645268409,0.11222863104019602,1.0,0.0,0.0,0.0
