method,ode_steps,seed,num_trajectories,success_rate,ring_pass_rate,collision_free_rate,dynamic_feasibility_rate,endpoint_feasibility_rate,minimum_barrier,mean_minimum_barrier,mean_crossing_clearance,mean_maximum_speed,maximum_speed,mean_maximum_acceleration,maximum_acceleration,mean_path_length,mean_start_position_error,mean_goal_position_error,trajectory_rmse_to_expert,ode_ms_per_trajectory,end_to_end_ms_per_trajectory,mean_residual_scale,cbf_intervention_rate
raw_trajectory,64,401,128,0.0,1.0,1.0,0.0,0.0,0.05595640863893343,0.24928951648235206,0.3899293827979088,8.178059645113942,27.833697797403048,161.80614775415435,651.1243145205772,12.312456183013705,0.4591797868133765,0.5152742494162731,0.7170309146615401,23.345732031884836,23.348204687863472,1.0,0.0
raw_trajectory,64,402,128,0.0,1.0,1.0,0.0,0.0,0.04863717598845897,0.25562315843923383,0.4013235557619984,7.818862914502869,26.164989370157006,149.2239662110217,713.4193448598774,11.9888686251224,0.43540592473820094,0.478640887023987,0.723027878621441,25.14312812490971,25.146612500975607,1.0,0.0
raw_trajectory,64,403,128,0.0,1.0,1.0,0.0,0.0,0.048389526970551516,0.25901279055598003,0.4029321120914012,7.5496012340641645,17.543952192907092,137.8998469463805,471.906058031853,11.616334742605336,0.4514065877205603,0.4950068868246467,0.7438576099867659,21.515739063033834,21.51831171977392,1.0,0.0
boundary_trajectory,1,401,128,0.0,0.859375,0.859375,0.0,1.0,-0.027612736985285102,0.08251973277676664,0.328344673967853,18.410136855569966,36.02384750967253,309.91988264570546,600.0784455421157,35.1514350434773,0.0,3.1006647487684202e-15,0.27667779711498613,0.3222289069526596,0.4433257818163838,1.0,0.0
boundary_trajectory,1,402,128,0.0,0.890625,0.890625,0.0,1.0,-0.03260854372105311,0.08752627735358279,0.3250888936671172,18.352537072475506,29.713289533575622,308.69087182474425,616.6918972725196,35.434094521797384,0.0,3.1006647487684202e-15,0.2752059850831511,0.3207921872672159,0.4691734375228407,1.0,0.0
boundary_trajectory,1,403,128,0.0,0.9140625,0.9140625,0.0,1.0,-0.03332591421017893,0.08190320661569164,0.31531743192630807,18.455615514824835,31.183859189434983,315.419799555631,617.9509709705644,35.12711883797223,0.0,3.1006647487684202e-15,0.2753625007042359,0.37070312464493327,0.5351304698706372,1.0,0.0
boundary_trajectory,2,401,128,0.0,1.0,1.0,0.0,1.0,0.036790692799798255,0.21617732697952508,0.3780333837277657,7.804076467807578,13.285060412381416,118.44568603171705,257.19015151766394,13.536017551149639,0.0,3.1006647487684202e-15,0.22676943840368755,0.7873492177168373,0.9319789078290341,1.0,0.0
boundary_trajectory,2,402,128,0.0,1.0,1.0,0.0,1.0,0.013562097959911527,0.23581213074825141,0.38217617299709294,7.684547875524247,13.695793686732063,115.99233681666826,254.01155335470514,13.5457314223786,0.0,3.1006647487684202e-15,0.2281835974847607,0.753610936953919,0.8843570303724846,1.0,0.0
boundary_trajectory,2,403,128,0.0,1.0,1.0,0.0,1.0,0.0070482733514550325,0.22551100112487993,0.382099180464781,7.657716274116536,12.88091466716704,119.83967161751994,292.73763063547284,13.596164568367904,0.0,3.1006647487684202e-15,0.22906474719350306,0.7523781241616234,0.9132531249633757,1.0,0.0
boundary_trajectory,4,401,128,0.0,1.0,1.0,0.0,1.0,0.029585813966182622,0.2520714296106847,0.3668807877785494,4.882038890369726,10.50734622842626,55.51273498603178,124.4052045568145,7.067069031934237,0.0,3.1006647487684202e-15,0.2438358854792372,1.2711898434645263,1.41464218722831,1.0,0.0
boundary_trajectory,4,402,128,0.0,1.0,1.0,0.0,1.0,0.06443767658267611,0.2705061196339548,0.3836310104708812,4.939672144286701,11.224790788441268,55.37221512571338,124.9286648897518,7.142454505225096,0.0,3.1006647487684202e-15,0.2466584026742751,1.6082562506198883,1.7522023445053492,1.0,0.0
boundary_trajectory,4,403,128,0.0,1.0,1.0,0.0,1.0,0.0025291670598733204,0.2630253883211642,0.3762941863548773,4.771996123878518,9.28801593381272,54.477859823236685,139.79454664775994,7.117903247444793,0.0,3.1006647487684202e-15,0.24569293524492397,1.2845796863985015,1.4499015633191448,1.0,0.0
boundary_trajectory,8,401,128,0.0,1.0,1.0,0.0,1.0,0.023583702908123692,0.2584129413505243,0.3638759856623312,4.316538954986436,11.044625012932084,34.313171975707576,126.5006223604565,5.147540226410361,0.0,3.1006647487684202e-15,0.2505859364883009,2.985026561873383,3.135725781248766,1.0,0.0
boundary_trajectory,8,402,128,0.0,1.0,1.0,0.0,1.0,0.05374771324057877,0.2778238417438338,0.3809582768316011,4.392200706466516,11.603597915876527,35.60568764740152,109.57118204801132,5.154157919292156,0.0,3.1006647487684202e-15,0.2534388541013884,3.1991210926207714,3.372234374182881,1.0,0.0
boundary_trajectory,8,403,128,0.0,0.9921875,0.9921875,0.0,1.0,-0.00456035571458642,0.2674618043938076,0.37233272699430753,4.240613704514473,9.870821290310344,32.923579433959695,147.70274099365065,5.153134290741672,0.0,3.1006647487684202e-15,0.25198594056486934,2.395703126239823,2.540465626225341,1.0,0.0
boundary_trajectory,16,401,128,0.0,1.0,1.0,0.0,1.0,0.021122561190391242,0.258270202849157,0.36006263166668895,4.237012152676154,11.27931491711053,30.278627280220384,128.603266608637,4.8149278349106925,0.0,3.1006647487684202e-15,0.2528786513387659,5.631674219330307,5.774908593593864,1.0,0.0
boundary_trajectory,16,402,128,0.0,1.0,1.0,0.0,1.0,0.046690457497186824,0.2770873900884713,0.37745522203628173,4.319006405892852,11.729167093415917,31.57951882992061,107.14387825418268,4.7982032697545325,0.0,3.1006647487684202e-15,0.2555699339635077,6.407602344552288,6.5586000000621425,1.0,0.0
boundary_trajectory,16,403,128,0.0,0.9921875,0.9921875,0.0,1.0,-0.007189081670048544,0.26555986009974464,0.36898244614360115,4.157483957995812,10.067751658334547,28.832214819823037,152.20166398439204,4.798354449478749,0.0,3.1006647487684202e-15,0.25368605048020215,5.810467968331068,5.946300781943137,1.0,0.0
boundary_trajectory,32,401,128,0.0,1.0,1.0,0.0,1.0,0.02163653655183309,0.25989723496718253,0.3608906581727547,4.148906893810505,11.03293095552382,28.305764730960682,123.11944476934757,4.6975360994807955,0.0,3.1006647487684202e-15,0.2524816946483123,11.373855468264082,11.543244530912489,1.0,0.0
boundary_trajectory,32,402,128,0.0,1.0,1.0,0.0,1.0,0.04608332695755028,0.2788170125548812,0.37810078483491355,4.226866530055739,11.399469379603406,29.511277220141572,101.44276854192901,4.677884754710046,0.0,3.1006647487684202e-15,0.2550769015333062,11.407141406380106,11.567150000701076,1.0,0.0
boundary_trajectory,32,403,128,0.0,0.9921875,0.9921875,0.0,1.0,-0.006690660336015064,0.2673347180075524,0.3700291229179614,4.072494002534616,9.962619297146063,26.92729143248429,147.69556545694482,4.680104193038474,0.0,3.1006647487684202e-15,0.25333058821316223,11.653292187475017,11.785620312366518,1.0,0.0
boundary_trajectory,64,401,128,0.0,1.0,1.0,0.0,1.0,0.022225341824733125,0.2615528157826088,0.3619960877067449,4.069204437560317,10.834205490709488,27.21619484528066,120.58496537874956,4.631283136965612,0.0,3.1006647487684202e-15,0.250178622284258,22.649078906397335,22.809164844147745,1.0,0.0
boundary_trajectory,64,402,128,0.0,1.0,1.0,0.0,1.0,0.04719623395039188,0.28058778822227404,0.3797315858066974,4.1476015775993975,11.246681299400024,28.379612466456564,99.09613459602714,4.609271553874608,0.0,3.1006647487684202e-15,0.25291428617559814,22.19237656208861,22.333696873829467,1.0,0.0
boundary_trajectory,64,403,128,0.0,0.9921875,0.9921875,0.0,1.0,-0.0065450588885846706,0.2691105593613624,0.37127613197032977,3.9922581340190035,9.840748945541597,25.81247412489737,143.76221783131706,4.613141905495198,0.0,3.1006647487684202e-15,0.2511964260508184,21.475128905876772,21.625142187986057,1.0,0.0
raw_velocity,1,401,128,0.0,1.0,1.0,0.0,0.0078125,0.051583626304319105,0.26492160330968195,0.36079601864967903,1.3069341286441472,1.7102234729899932,8.368698676533722,13.857475986133581,3.5399309159918726,0.0,0.2782149673088501,0.16303153663105377,0.43131562415510416,0.46682812535436824,1.0,0.0
raw_velocity,1,402,128,0.0,1.0,1.0,0.0,0.0078125,0.07834813155308912,0.26525220262238836,0.3602563435747986,1.304427744228855,1.7422888998318569,8.730468398171649,16.902463729154572,3.548194448027357,0.0,0.2772932212651764,0.15750307344124997,0.35833046786137857,0.3948601570300525,1.0,0.0
raw_velocity,1,403,128,0.0,1.0,1.0,0.0,0.0,0.04957241458783408,0.27483752990796045,0.3696525077220323,1.3086495086323362,1.735817776509175,8.354629817798997,15.09608226462042,3.545011992584352,0.0,0.271388680104894,0.15970616628490333,0.4203000007692026,0.46607187505287584,1.0,0.0
raw_velocity,2,401,128,0.125,1.0,1.0,0.1953125,0.4609375,0.08286236878239671,0.2825525322137502,0.375628750262329,1.2002253060489607,1.6144338419400042,3.7191202824233827,6.38679198374525,3.535106046235982,0.0,0.15320352519094907,0.15167925207160518,1.0594124996714527,1.1024976574844914,1.0,0.0
raw_velocity,2,402,128,0.0859375,1.0,1.0,0.2109375,0.4140625,0.0902657795400903,0.2826933950539912,0.37566691948925635,1.206709019094351,1.6211796440018293,3.8311321034191144,7.105164960140796,3.5422862075516885,0.0,0.14902651703929942,0.14508131492829845,0.7819703132554423,0.8163179682014743,1.0,0.0
raw_velocity,2,403,128,0.09375,1.0,1.0,0.2109375,0.3828125,0.07287784204240434,0.2901335356191098,0.3824777140770303,1.1988152201076328,1.6656770680768749,3.7398311638935513,5.627551700650849,3.5454919534840093,0.0,0.1526717262348513,0.15434788565294888,0.8060960935836192,0.8547953129891539,1.0,0.0
raw_velocity,4,401,128,0.5078125,1.0,1.0,0.734375,0.6328125,0.08750278389564523,0.2832085662542563,0.37589063580629584,1.1999249417448004,1.6092325654834754,2.524915113515098,4.176395831622057,3.53437851140547,0.0,0.1414935321465183,0.16192623261533368,1.2931773435411742,1.338432812190149,1.0,0.0
raw_velocity,4,402,128,0.546875,1.0,1.0,0.765625,0.6328125,0.08678099873231077,0.2825402212831976,0.3754563580910118,1.2040066586661524,1.643468484183174,2.5565439343003673,6.657708894510551,3.5394928257003353,0.0,0.1374387635573441,0.15475680799044125,1.516723437816836,1.5499890632781899,1.0,0.0
raw_velocity,4,403,128,0.46875,1.0,1.0,0.734375,0.609375,0.07621401036002874,0.28993965052976356,0.38191792494268906,1.200514132848662,1.6491886040901216,2.5539588444148054,4.254378332669725,3.544269013004479,0.0,0.14176673301421183,0.16651320525387867,1.4137648431642447,1.4503773436445044,1.0,0.0
raw_velocity,8,401,128,0.5546875,1.0,1.0,0.8359375,0.5859375,0.08952277160849674,0.2820841531641114,0.3747867061605679,1.1976068337761365,1.6161566395672187,2.3167154319958874,3.92636634504622,3.530805011611415,0.0,0.14379807404436046,0.16548353500849816,2.7359539053577464,2.772771875243052,1.0,0.0
raw_velocity,8,402,128,0.5546875,1.0,1.0,0.859375,0.6015625,0.08481266817504053,0.28096031690423706,0.37389045315571623,1.2000317956219906,1.6421056451217033,2.2776210618106134,6.374338311838487,3.534631541699557,0.0,0.1403322093177228,0.15807756168848058,2.7116601559100673,2.751986718067201,1.0,0.0
raw_velocity,8,403,128,0.4921875,1.0,1.0,0.8359375,0.5859375,0.07549010098588821,0.28899831364336304,0.3808618754091536,1.198547161787849,1.656044415122946,2.2933965069941125,4.216260088558855,3.5397490866432513,0.0,0.14437462205946272,0.1706452814133647,2.725907812418882,2.764020311587956,1.0,0.0
raw_velocity,16,401,128,0.5546875,1.0,1.0,0.8359375,0.59375,0.09011329763972117,0.2817712901259162,0.37445053739556294,1.2033993338739193,1.6281691863917922,2.2963936745650217,4.001179083592058,3.539571982436476,0.0,0.14042682304986437,0.1665966836844394,8.079748437012313,8.127770312057692,1.0,0.0
raw_velocity,16,402,128,0.5546875,1.0,1.0,0.8515625,0.6015625,0.08491768932235906,0.28033735930782266,0.3732950213107889,1.2051583083730044,1.6548101709733665,2.242627667222399,6.390903668158352,3.543105500712482,0.0,0.13672003791291076,0.1588887042065415,5.83093046770955,5.869578906640527,1.0,0.0
raw_velocity,16,403,128,0.53125,1.0,1.0,0.828125,0.625,0.07364602307874495,0.28876830909822204,0.3805506525225271,1.2038713007016888,1.6681129679185094,2.263448827130099,4.2649853459803655,3.5484149941847964,0.0,0.1412307761002966,0.17199103435812405,5.69951562465576,5.73819921737595,1.0,0.0
raw_velocity,32,401,128,0.5546875,1.0,1.0,0.8359375,0.6015625,0.09004697244011613,0.28108844654058823,0.3737757696074614,1.210360240030731,1.640115360480211,2.2889872572573173,3.997147975750645,3.54408862974082,0.0,0.1387862624376653,0.16796390317971435,11.361220313119702,11.399154687751434,1.0,0.0
raw_velocity,32,402,128,0.5625,1.0,1.0,0.859375,0.6015625,0.08416142224589011,0.2797581547724986,0.37271980693606843,1.2119707165044957,1.6659506541487101,2.2346222449760917,6.27009741695969,3.54787373493126,0.0,0.134819119987774,0.16019960473147582,10.924520312983077,10.953072654956486,1.0,0.0
