method,ode_steps,query_index,latency_ms,success,maximum_speed,maximum_acceleration
boundary_trajectory,1,120,3.351,0,17.07697365337289,308.52645600091637
boundary_trajectory,1,121,3.3557,0,16.85285729816971,346.5782539757676
boundary_trajectory,1,122,4.962,0,17.72638577304374,406.73137463052603
boundary_trajectory,1,123,4.7589,0,22.04581040155525,459.53041757009345
boundary_trajectory,1,124,4.6295,0,15.09092384769137,233.19991322985803
boundary_trajectory,1,125,4.7437,0,18.198342353203543,358.501227548043
boundary_trajectory,1,126,3.8423,0,15.706089281367028,201.59565979064638
boundary_trajectory,1,127,3.5951,0,14.537599934952365,214.24721040054004
boundary_trajectory,4,0,19.317,0,5.338806073918195,64.23071914053386
boundary_trajectory,4,1,21.1212,0,7.040823899048834,60.28360903306406
boundary_trajectory,4,2,24.0596,0,3.3918888844096067,32.31259264851046
boundary_trajectory,4,3,14.7348,0,5.241195238747575,64.3200644731963
boundary_trajectory,4,4,16.2192,0,4.066846283652356,42.77430188725295
boundary_trajectory,4,5,11.6758,0,5.232142357218391,45.21790087623951
boundary_trajectory,4,6,14.5174,0,5.181256032319564,30.132319351376182
boundary_trajectory,4,7,13.7017,0,4.635554220287326,45.76690214482194
boundary_trajectory,4,8,13.7645,0,3.8668475033779766,48.14093790041117
boundary_trajectory,4,9,16.9542,0,4.992529473401626,89.00137770203627
boundary_trajectory,4,10,13.0165,0,3.3906268039633827,26.496553196295757
boundary_trajectory,4,11,13.7777,0,3.8456283154856745,35.936829727873615
boundary_trajectory,4,12,11.537,0,4.375803309438706,33.27923743690687
boundary_trajectory,4,13,12.0459,0,2.441783339255453,29.232497382411143
boundary_trajectory,4,14,13.7942,0,7.835289852258196,72.3448410226017
boundary_trajectory,4,15,15.3735,0,5.2752932288323935,46.14396953276346
boundary_trajectory,4,16,11.8073,0,7.0735534634835995,97.59947233918712
boundary_trajectory,4,17,11.1505,0,5.091998018159556,62.043684131474556
boundary_trajectory,4,18,13.5746,0,4.6028439883419745,37.06467627287754
boundary_trajectory,4,19,10.8247,0,3.479001092286021,46.19961791885108
boundary_trajectory,4,20,17.4187,0,2.9403964782157948,25.20083722217761
boundary_trajectory,4,21,11.5,0,5.203830472554954,41.81837504083412
boundary_trajectory,4,22,10.9939,0,4.18551536873849,49.07314281246006
boundary_trajectory,4,23,15.8757,0,4.703461870812726,63.679144899170765
boundary_trajectory,4,24,13.589,0,3.377564071201078,30.65971133538931
boundary_trajectory,4,25,11.5244,0,3.6474926527315077,44.45036114847687
boundary_trajectory,4,26,12.053,0,3.7497758583641825,57.135368680659546
boundary_trajectory,4,27,11.1563,0,3.1487154694648667,47.4230147077788
boundary_trajectory,4,28,15.6845,0,5.084762977547897,69.39528474302102
boundary_trajectory,4,29,12.1355,0,6.282216105186292,87.94411595738937
boundary_trajectory,4,30,10.9819,0,3.843955667179568,56.878483730744044
boundary_trajectory,4,31,11.0066,0,4.131150279682798,52.76440032636701
boundary_trajectory,4,32,16.9356,0,8.105657685095766,92.30314152995307
boundary_trajectory,4,33,13.5002,0,4.750822277296523,51.72221155928468
boundary_trajectory,4,34,13.0176,0,3.796315470378975,49.88314004683208
boundary_trajectory,4,35,10.9159,0,6.8655635874725105,77.23970509917118
boundary_trajectory,4,36,10.7275,0,6.138281149398537,75.64271279488686
boundary_trajectory,4,37,10.4023,0,4.135441841249944,47.042398817027454
boundary_trajectory,4,38,11.3985,0,3.6222672525292743,46.44478493810948
boundary_trajectory,4,39,12.4668,0,5.047993859213957,91.70461888201666
boundary_trajectory,4,40,12.7534,0,6.16074945324239,51.39858991108666
boundary_trajectory,4,41,13.275,0,3.949789707119097,50.07370858346176
boundary_trajectory,4,42,10.7405,0,4.96772700861217,62.035998917904394
boundary_trajectory,4,43,11.0592,0,4.596542126619951,33.96031201952916
boundary_trajectory,4,44,12.4696,0,3.6040310339767623,55.81126625224964
boundary_trajectory,4,45,12.0523,0,6.926529189274408,62.548162940211675
boundary_trajectory,4,46,12.9612,0,4.823352014057719,64.50279247362131
boundary_trajectory,4,47,10.848,0,8.969641804423022,72.40108737081147
boundary_trajectory,4,48,12.1746,0,5.555016577384102,66.48624663945682
boundary_trajectory,4,49,15.1954,0,5.00969909094808,57.917630231175636
boundary_trajectory,4,50,13.095,0,3.05496291810065,41.74377723274838
boundary_trajectory,4,51,12.7211,0,4.342486452587125,63.01912217364374
boundary_trajectory,4,52,11.7066,0,3.0530138150659742,32.215944256672934
boundary_trajectory,4,53,13.6897,0,4.537428628940979,36.73008893820957
boundary_trajectory,4,54,11.1234,0,4.536173852936354,44.087897370142635
boundary_trajectory,4,55,10.6265,0,4.312690023294117,46.321904522463704
