seed,scenario_index,method,nominal_crossing_0_s,nominal_crossing_1_s,nash_action_0,nash_action_1,nominal_priority_agent,delay_0_s,delay_1_s,both_passed,collision,deadlock,minimum_separation_m,crossing_time_0_s,crossing_time_1_s,crossing_gap_s,completion_time_s,payoff_0,payoff_1,social_payoff,hocbf_intervention_rate,mean_hocbf_correction,maximum_acceleration_mps2
1001,1,hocbf_only,1.8962512023199398,1.824928725078746,yield,go,1,0.0,0.0,1,0,0,0.3678947897373282,1.914318761649235,1.7467141497552545,0.16760461189398046,1.914318761649235,6.042840619175383,9.126642925122372,15.169483544297755,0.43601895734597157,1.063167616370551,2.471801167543744
1001,1,nash_game,1.8962512023199398,1.824928725078746,yield,go,1,0.428677522758806,0.0,1,0,0,0.30609997407469763,2.282167012883086,1.801155089924237,0.481011922958849,2.282167012883086,5.858916493558457,9.099422455037882,14.958338948596339,0.0,0.0,2.466554813774485
1001,1,nash_game_hocbf,1.8962512023199398,1.824928725078746,yield,go,1,0.428677522758806,0.0,1,0,0,0.43868095692829945,2.3832552262565763,1.7387812642414235,0.6444739620151527,2.3832552262565763,5.808372386871712,9.130609367879288,14.938981754751,0.11827956989247312,0.9283834435163306,2.497685801897298
1001,2,independent,1.980922201497355,2.0674983090670116,go,yield,0,0.0,0.0,1,1,0,0.04206398594254541,1.9807538365205926,2.0426973690571715,0.061943532536578916,2.0426973690571715,-20.0,-20.0,-40.0,0.0,0.0,2.587235643115703
1001,2,fixed_priority,1.980922201497355,2.0674983090670116,go,yield,0,0.0,0.8,1,0,0,0.4595495258856483,1.9807538365205926,2.8428130845861928,0.8620592480656002,2.8428130845861928,9.009623081739704,5.578593457706903,14.588216539446607,0.0,0.0,2.587235643115703
1001,2,hocbf_only,1.980922201497355,2.0674983090670116,go,yield,0,0.0,0.0,1,0,0,0.3604985429794989,2.12556078011657,1.8857770781309793,0.23978370198559085,2.12556078011657,5.937219609941715,9.057111460934511,14.994331070876225,0.39462809917355374,1.2714876984091192,2.6207282438633177
1001,2,nash_game,1.980922201497355,2.0674983090670116,go,yield,0,0.0,0.4134238924303433,1,0,0,0.2892130100753493,1.9807538365205926,2.456082108282729,0.4753282717621363,2.456082108282729,9.009623081739704,5.771958945858636,14.78158202759834,0.0,0.0,2.587235643115703
1001,2,nash_game_hocbf,1.980922201497355,2.0674983090670116,go,yield,0,0.0,0.4134238924303433,1,0,0,0.3801071525756874,1.9321672311892237,2.5321285726874865,0.5999613414982627,2.5321285726874865,9.033916384405389,5.7339357136562565,14.767852098061645,0.22857142857142856,0.5281822606627217,2.5415660112405427
1001,3,independent,2.1370944952705315,1.9867917589292308,yield,go,1,0.0,0.0,1,1,0,0.09851563781551946,2.1548322522928594,1.9789190905704699,0.17591316172238947,2.1548322522928594,-20.0,-20.0,-40.0,0.0,0.0,2.3704710778716387
1001,3,fixed_priority,2.1370944952705315,1.9867917589292308,yield,go,1,0.0,0.8,1,0,0,0.4145888418478477,2.1548322522928594,2.7789319591452037,0.6240997068523444,2.7789319591452037,8.92258387385357,5.610534020427398,14.533117894280968,0.0,0.0,2.3705180238042525
1001,3,hocbf_only,2.1370944952705315,1.9867917589292308,yield,go,1,0.0,0.0,1,0,0,0.36360293311092395,2.289348300417604,1.854800567577422,0.4345477328401821,2.289348300417604,5.855325849791198,9.07259971621129,14.927925566002488,0.41294642857142855,0.92583687206251,2.2917413639085296
1001,3,nash_game,2.1370944952705315,1.9867917589292308,yield,go,1,0.34969726365869924,0.0,1,0,0,0.3216148553084776,2.5045095368474373,1.9789190905704699,0.5255904462769674,2.5045095368474373,5.747745231576282,9.010540454714764,14.758285686291046,0.0,0.0,2.3704710778716387
1001,3,nash_game_hocbf,2.1370944952705315,1.9867917589292308,yield,go,1,0.34969726365869924,0.0,1,0,0,0.42729553999905295,2.581604695770003,1.920646042645438,0.660958653124565,2.581604695770003,5.709197652114998,9.039676978677281,14.74887463079228,0.19254658385093168,0.6509987552636293,2.2281253491967714
1001,4,independent,1.9467054225291025,1.7440375321176333,yield,go,1,0.0,0.0,1,1,0,0.10078702736221058,1.9210886511441216,1.755833932932836,0.16525471821128557,1.9210886511441216,-20.0,-20.0,-40.0,0.0,0.0,2.1555805837831032
1001,4,fixed_priority,1.9467054225291025,1.7440375321176333,yield,go,1,0.0,0.8,1,0,0,0.3970201077041583,1.9210886511441216,2.556031083022616,0.6349424318784942,2.556031083022616,9.03945567442794,5.721984458488692,14.761440132916633,0.0,0.0,2.165474555148825
1001,4,hocbf_only,1.9467054225291025,1.7440375321176333,yield,go,1,0.0,0.0,1,0,0,0.36263795986343483,2.040681453787839,1.6545252834023592,0.3861561703854799,2.040681453787839,5.979659273106081,9.17273735829882,15.152396631404901,0.38495575221238937,0.9176857375229546,2.126271255999659
1001,4,nash_game,1.9467054225291025,1.7440375321176333,yield,go,1,0.2973321095885306,0.0,1,0,0,0.28341764095779326,2.2182166435483994,1.755833932932836,0.46238271061556335,2.2182166435483994,5.890891678225801,9.122083033533581,15.012974711759382,0.0,0.0,2.1555805837831032
1001,4,nash_game_hocbf,1.9467054225291025,1.7440375321176333,yield,go,1,0.2973321095885306,0.0,1,0,0,0.3948904270762638,2.3046848429114983,1.6954400575133635,0.6092447853981349,2.3046848429114983,5.847657578544251,9.152279971243319,14.99993754978757,0.11618257261410789,0.7721104331603639,2.1555805837831032
1001,5,independent,1.864147794322887,2.0830670851560544,go,yield,0,0.0,0.0,1,1,0,0.10173645397967263,1.9254681951881953,2.102903861167094,0.1774356659788987,2.102903861167094,-20.0,-20.0,-40.0,0.0,0.0,1.8760543926549291
1001,5,fixed_priority,1.864147794322887,2.0830670851560544,go,yield,0,0.0,0.8,1,0,0,0.5058441873938505,1.9254681951881953,2.902773683693206,0.9773054885050105,2.902773683693206,9.037265902405903,5.5486131581533975,14.5858790605593,0.0,0.0,1.8760543926549291
1001,5,hocbf_only,1.864147794322887,2.0830670851560544,go,yield,0,0.0,0.0,1,0,0,0.3505147794914817,1.7981345036513197,2.2357503942540147,0.437615890602695,2.2357503942540147,9.10093274817434,5.882124802872992,14.983057551047333,0.35477178423236516,0.9885745145006894,1.8419228373943213
1001,5,nash_game,1.864147794322887,2.0830670851560544,go,yield,0,0.0,0.2810807091668326,1,0,0,0.27217201294757826,1.9254681951881953,2.384000064376384,0.4585318691881888,2.384000064376384,9.037265902405903,5.807999967811808,14.84526587021771,0.0,0.0,1.8760543926549291
1001,5,nash_game_hocbf,1.864147794322887,2.0830670851560544,go,yield,0,0.0,0.2810807091668326,1,0,0,0.3700870343105374,1.859452796249176,2.458344034982619,0.5988912387334429,2.458344034982619,9.070273601875412,5.77082798250869,14.841101584384102,0.12156862745098039,0.6255843434089734,1.8760543926549291
1001,6,independent,1.9510738339061469,1.9822298116771613,go,yield,0,0.0,0.0,1,1,0,0.025412177312128206,1.9901160796055872,1.9385967558258492,0.051519323779738,1.9901160796055872,-20.0,-20.0,-40.0,0.0,0.0,2.3592311797224697
1001,6,fixed_priority,1.9510738339061469,1.9822298116771613,go,yield,0,0.0,0.8,1,0,0,0.40378657675342855,1.9901160796055872,2.7385399977035365,0.7484239180979493,2.7385399977035365,9.004941960197206,5.6307300011482315,14.635671961345437,0.0,0.0,2.3594797054222814
1001,6,hocbf_only,1.9510738339061469,1.9822298116771613,go,yield,0,0.0,0.0,1,0,0,0.36028827806717784,1.949510982588638,1.9783955399886564,0.028884557400018274,1.9783955399886564,9.025244508705681,6.010802230005671,15.036046738711352,0.49772727272727274,1.0528366424014077,2.3556417763098545
1001,6,nash_game,1.9510738339061469,1.9822298116771613,go,yield,0,0.0,0.4688440222289856,1,0,0,0.26653361938049824,1.9901160796055872,2.407164063464831,0.4170479838592438,2.407164063464831,9.004941960197206,5.796417968267584,14.801359928464791,0.0,0.0,2.3593537849949624
1001,6,nash_game_hocbf,1.9510738339061469,1.9822298116771613,go,yield,0,0.0,0.4688440222289856,1,0,0,0.41655413790388596,1.9003035539642916,2.520105381261059,0.6198018272967676,2.520105381261059,9.049848223017854,5.73994730936947,14.789795532387323,0.21149897330595482,0.871826748818673,2.2704239959314565
1001,7,independent,1.7969978702097003,1.8067355067277941,go,yield,0,0.0,0.0,1,1,0,0.03579305695559209,1.8044974198273143,1.8191104532022826,0.014613033374968332,1.8191104532022826,-20.0,-20.0,-40.0,0.0,0.0,2.0117507604833134
1001,7,fixed_priority,1.7969978702097003,1.8067355067277941,go,yield,0,0.0,0.8,1,0,0,0.5437045150201879,1.8044974198273143,2.619237650530971,0.8147402307036566,2.619237650530971,9.097751290086343,5.690381174734514,14.788132464820858,0.0,0.0,2.018639564288142
1001,7,hocbf_only,1.7969978702097003,1.8067355067277941,go,yield,0,0.0,0.0,1,0,0,0.3706484458483994,1.7705923359909224,1.8530516916718893,0.08245935568096696,1.8530516916718893,9.114703832004539,6.073474154164055,15.188177986168593,0.41125541125541126,1.0873648166745202,1.998181793784019
