method,planner_seed,maximum_tracking_error_m,ring_pass_rate,collision_free_rate,dynamic_feasibility_rate,mean_minimum_barrier,minimum_barrier
proposed_robust_steps8,402,0.01,1.0,1.0,1.0,0.316932042997584,0.14063070047130785
proposed_robust_steps8,402,0.02,1.0,1.0,0.9609375,0.31672215163065187,0.13483591038811515
proposed_robust_steps8,402,0.04,1.0,1.0,0.4921875,0.31619776856718196,0.14373214130271478
proposed_robust_steps8,402,0.06,1.0,1.0,0.1875,0.30858243949085895,0.1233968908673981
proposed_robust_steps8,402,0.08,1.0,1.0,0.015625,0.30232544029058367,0.10813242723383773
proposed_robust_steps8,403,0.0,1.0,1.0,1.0,0.31815859192818197,0.15276345540032443
proposed_robust_steps8,403,0.005,1.0,1.0,1.0,0.31799357083015833,0.15132672622993149
proposed_robust_steps8,403,0.01,1.0,1.0,1.0,0.3178119284386276,0.15976771091778896
proposed_robust_steps8,403,0.02,1.0,1.0,0.9453125,0.31692527763429856,0.14845858056567052
proposed_robust_steps8,403,0.04,1.0,1.0,0.5859375,0.31277484812240436,0.13158324725412024
proposed_robust_steps8,403,0.06,1.0,1.0,0.1953125,0.30752713565632134,0.15152417585116446
proposed_robust_steps8,403,0.08,1.0,1.0,0.0390625,0.30361466975965423,0.09565182318747519
