method,query_index,latency_ms,success,collision_free,dynamic_feasible
projected_velocity_cfm,93,20.8404,0,1,0
projected_velocity_cfm,94,20.2088,1,1,1
projected_velocity_cfm,95,20.2301,1,1,1
projected_velocity_cfm,96,22.6263,0,1,0
projected_velocity_cfm,97,20.9335,1,1,1
projected_velocity_cfm,98,20.1817,0,1,0
projected_velocity_cfm,99,19.7877,0,1,0
projected_velocity_cfm,100,19.9553,1,1,1
projected_velocity_cfm,101,19.7634,1,1,1
projected_velocity_cfm,102,19.5687,0,1,0
projected_velocity_cfm,103,19.6864,1,1,1
projected_velocity_cfm,104,19.3831,1,1,1
projected_velocity_cfm,105,19.3099,1,1,1
projected_velocity_cfm,106,19.4295,1,1,1
projected_velocity_cfm,107,22.8242,1,1,1
projected_velocity_cfm,108,21.4022,1,1,1
projected_velocity_cfm,109,20.0775,0,1,0
projected_velocity_cfm,110,20.1,1,1,1
projected_velocity_cfm,111,20.7771,1,1,1
projected_velocity_cfm,112,20.204,1,1,1
projected_velocity_cfm,113,21.2599,1,1,1
projected_velocity_cfm,114,20.3906,1,1,1
projected_velocity_cfm,115,19.771,1,1,1
projected_velocity_cfm,116,19.8977,1,1,1
projected_velocity_cfm,117,20.8716,0,1,0
projected_velocity_cfm,118,19.7636,0,1,0
projected_velocity_cfm,119,19.4946,1,1,1
projected_velocity_cfm,120,19.5578,0,1,0
projected_velocity_cfm,121,19.6159,0,1,0
projected_velocity_cfm,122,20.3565,1,1,1
projected_velocity_cfm,123,19.9315,0,1,0
projected_velocity_cfm,124,19.8069,1,1,1
projected_velocity_cfm,125,20.0145,0,1,0
projected_velocity_cfm,126,20.5303,1,1,1
projected_velocity_cfm,127,25.6897,1,1,1
boundary_only,0,19.5667,0,1,0
boundary_only,1,20.628,0,1,0
boundary_only,2,21.8445,0,1,0
boundary_only,3,20.0011,0,1,0
boundary_only,4,20.3763,0,1,0
boundary_only,5,21.3989,0,1,0
boundary_only,6,19.8817,0,1,0
boundary_only,7,19.4292,0,1,0
boundary_only,8,19.4448,0,1,0
boundary_only,9,19.4821,0,1,0
boundary_only,10,20.1546,0,1,0
boundary_only,11,19.9524,0,1,0
boundary_only,12,19.3894,0,1,0
boundary_only,13,19.8242,0,1,0
boundary_only,14,20.3968,0,1,0
boundary_only,15,19.5206,0,1,0
boundary_only,16,19.593,0,1,0
boundary_only,17,21.6524,0,1,0
boundary_only,18,19.888,0,1,0
boundary_only,19,21.5647,0,1,0
boundary_only,20,21.1122,0,1,0
boundary_only,21,20.4368,0,1,0
boundary_only,22,19.9848,0,1,0
boundary_only,23,20.8862,0,1,0
boundary_only,24,21.0925,0,1,0
boundary_only,25,25.8111,0,1,0
boundary_only,26,20.7938,0,1,0
boundary_only,27,19.9778,0,1,0
boundary_only,28,19.9427,0,1,0
boundary_only,29,20.1301,0,1,0
boundary_only,30,19.9799,0,1,0
