scenario,seed,method,trajectory_index,both_passed,collision,margin_violation,minimum_separation_m,crossing_gap_s,tracking_rmse_mean_m,maximum_tracking_error_m,maximum_tilt_degrees,motor_saturation_fraction
severe,8101,nash_reference_hocbf,5,1,0,0,0.5217630110879463,1.1837514100944904,0.18778307514714632,0.26128310793035314,16.62169402911927,0.0
severe,8101,nash_reference_hocbf,6,1,0,0,0.4375346442624422,0.563424229275542,0.1833157864655659,0.24349551988622628,22.261965355261154,0.0
severe,8101,nash_reference_hocbf,7,1,0,0,0.5688992179026939,0.8243724121225702,0.20094488185559592,0.2388491958406061,18.58252637801521,0.0
severe,8101,phase1_cfm_hocbf,0,1,0,1,0.34138202333929113,0.45792820590653793,0.19965491468764424,0.2911848192259545,19.667365889952613,0.0
severe,8101,phase1_cfm_hocbf,1,1,0,0,0.5057684412214453,0.9834903942845208,0.13427973065028306,0.17861608567027457,29.81973187896672,0.0
severe,8101,phase1_cfm_hocbf,2,1,0,0,0.4633447719725633,1.0438417540170588,0.18967581994105318,0.232582320620085,19.20202251337721,0.0
severe,8101,phase1_cfm_hocbf,3,1,0,1,0.34025808408433106,0.4577036929504399,0.17739005019336415,0.25664451127640536,30.511432107860898,0.0
severe,8101,phase1_cfm_hocbf,4,1,0,0,0.6135441234982723,1.1281587548749137,0.16599003685605493,0.21442169301650812,27.444687028859377,0.0
severe,8101,phase1_cfm_hocbf,5,1,0,0,0.5217630110879463,1.187740842029492,0.18797390867765607,0.26183165155671134,17.464960233961765,0.0
severe,8101,phase1_cfm_hocbf,6,1,0,0,0.4410401327079845,0.5939634796121789,0.18329642907359397,0.24431660363979937,23.06977709019848,0.0
severe,8101,phase1_cfm_hocbf,7,1,0,0,0.5668966321812677,0.8347256569740742,0.20211920616889023,0.23968929897719635,19.155763906436338,0.0
severe,8101,phase2_guided_cfm_hocbf,0,1,0,1,0.34761385927656185,0.46145916379470586,0.2016913097833059,0.2955085082579909,20.42127185547078,0.0
severe,8101,phase2_guided_cfm_hocbf,1,1,0,0,0.5057684412214453,0.9832426701589307,0.13456416668145485,0.1793726586624766,30.67504887769479,0.0
severe,8101,phase2_guided_cfm_hocbf,2,1,0,0,0.4640814163376303,1.0555450791333956,0.18958481208665756,0.23334021735572108,19.761443171645894,0.0
severe,8101,phase2_guided_cfm_hocbf,3,1,0,1,0.3451374466572677,0.4594880365887799,0.1762105746126254,0.25343240338918344,29.763153990091016,0.0
severe,8101,phase2_guided_cfm_hocbf,4,1,0,0,0.6146548058182912,1.1136380774503853,0.16727800093768466,0.21789700126264225,27.468906387242935,0.0
severe,8101,phase2_guided_cfm_hocbf,5,1,0,0,0.5217630110879463,1.1835997040252495,0.188100084623921,0.262879867893508,17.920571686282617,0.0
severe,8101,phase2_guided_cfm_hocbf,6,1,0,0,0.4382551150614315,0.601395172396626,0.18323452253673167,0.24398541527016152,23.416243529250025,0.0
severe,8101,phase2_guided_cfm_hocbf,7,1,0,0,0.5667811464439975,0.8359482394457438,0.20197866721358151,0.23869810401793076,19.471719881047274,0.0
severe,8102,nash_reference,0,1,1,1,0.2228580860254702,0.3213613228139707,0.1462746320223841,0.1960727713625538,17.827380586430703,0.0
severe,8102,nash_reference,1,1,0,1,0.28298606678680227,0.4738965528997925,0.17817747382261834,0.2132016154484964,19.40803388564829,0.0
severe,8102,nash_reference,2,1,0,1,0.26528423699545395,0.33172555433255324,0.1298264654145419,0.18153735063365173,24.305487657859015,0.0
severe,8102,nash_reference,3,1,1,1,0.17824693365522887,0.06940118092437508,0.17536986709567914,0.2514144888231041,20.48142139952315,0.0
